i,HammingDistance
1,42
2,42
3,36
4,35
5,41
6,39
7,47
8,45
9,49
10,42
11,40
12,46
13,40
14,37
15,42
16,40
17,36
18,42
19,33
20,40
21,36
22,45
23,38
24,39
25,38
26,40
27,39
28,40
29,39
30,44
31,43
32,42
33,36
34,32
35,36
36,45
37,37
38,33
39,45
40,36
41,34
42,46
43,41
44,38
45,35
46,43
47,39
48,38
49,46
50,41
51,39
52,39
53,37
54,38
55,39
56,45
57,47
58,47
59,45
60,47
61,37
62,34
63,37
64,41
65,37
66,36
67,45
68,51
69,37
70,43
71,37
72,43
73,42
74,39
75,38
76,35
77,35
78,40
79,40
80,37
81,40
82,43
83,39
84,43
85,39
86,35
87,35
88,41
89,32
90,43
91,44
92,40
93,36
94,40
95,40
96,41
97,29
98,41
99,37
100,48
101,38
102,39
103,37
104,41
105,46
106,37
107,37
108,42
109,38
110,40
111,37
112,38
113,28
114,50
115,39
116,43
117,39
118,42
119,40
120,41
121,39
122,45
123,45
124,37
125,43
126,40
127,36
128,39
129,41
130,43
131,41
132,49
133,39
134,33
135,46
136,37
137,40
138,49
139,45
140,36
141,31
142,39
143,46
144,49
145,43
146,37
147,44
148,35
149,48
150,46
151,40
152,35
153,39
154,37
155,28
156,37
157,42
158,36
159,40
160,38
161,40
162,49
163,38
164,41
165,33
166,37
167,46
168,51
169,41
170,44
171,43
172,47
173,44
174,44
175,39
176,38
177,37
178,39
179,44
180,35
181,37
182,33
183,39
184,43
185,46
186,33
187,44
188,39
189,45
190,38
191,45
192,38
193,39
194,45
195,40
196,42
197,37
198,39
199,42
200,46
201,46
202,42
203,33
204,36
205,41
206,29
207,39
208,41
209,44
210,42
211,46
212,43
213,27
214,43
215,42
216,34
217,40
218,29
219,41
220,32
221,36
222,39
223,35
224,35
225,44
226,36
227,34
228,36
229,45
230,37
231,40
232,45
233,41
234,47
235,38
236,33
237,38
238,38
239,40
240,35
241,37
242,37
243,46
244,37
245,48
246,38
247,37
248,36
249,39
250,48
251,42
252,34
253,46
254,35
255,43
256,37
257,33
258,43
259,37
260,38
261,38
262,45
263,31
264,37
265,42
266,37
267,39
268,40
269,45
270,40
271,41
272,36
273,31
274,36
275,36
276,48
277,41
278,43
279,48
280,39
281,43
282,35
283,39
284,33
285,53
286,38
287,40
288,37
289,33
290,43
291,43
292,38
293,43
294,44
295,35
296,34
297,51
298,42
299,46
300,39
301,42
302,37
303,37
304,42
305,46
306,45
307,39
308,38
309,35
310,42
311,45
312,38
313,46
314,42
315,34
316,41
317,45
318,42
319,41
320,43
321,41
322,45
323,44
324,44
325,43
326,51
327,44
328,47
329,44
330,43
331,44
332,42
333,46
334,40
335,40
336,43
337,46
338,42
339,39
340,40
341,53
342,46
343,42
344,38
345,45
346,47
347,29
348,41
349,36
350,45
351,38
352,38
353,44
354,30
355,35
356,35
357,45
358,37
359,36
360,35
361,39
362,43
363,39
364,39
365,36
366,43
367,42
368,35
369,37
370,41
371,41
372,40
373,35
374,35
375,37
376,37
377,42
378,43
379,37
380,37
381,36
382,41
383,35
384,44
385,41
386,50
387,38
388,45
389,47
390,35
391,43
392,52
393,41
394,48
395,47
396,38
397,38
398,37
399,42
400,31
401,41
402,36
403,40
404,39
405,36
406,42
407,44
408,39
409,40
410,42
411,42
412,40
413,45
414,40
415,46
416,35
417,36
418,39
419,42
420,39
421,40
422,48
423,31
424,46
425,36
426,42
427,43
428,37
429,35
430,34
431,35
432,40
433,43
434,36
435,31
436,36
437,36
438,42
439,39
440,44
441,39
442,40
443,43
444,37
445,37
446,37
447,43
448,41
449,40
450,34
451,42
452,47
453,35
454,38
455,36
456,41
457,47
458,36
459,36
460,31
461,42
462,48
463,34
464,32
465,36
466,36
467,40
468,37
469,46
470,41
471,45
472,49
473,40
474,41
475,38
476,43
477,40
478,37
479,35
480,41
481,42
482,33
483,43
484,44
485,43
486,30
487,47
488,40
489,34
490,46
491,39
492,40
493,41
494,41
495,48
496,44
497,36
498,43
499,35
500,36
501,42
502,43
503,45
504,43
505,44
506,40
507,43
508,44
509,42
510,37
511,48
512,41
513,41
514,33
515,41
516,35
517,41
518,40
519,41
520,41
521,48
522,37
523,42
524,39
525,48
526,43
527,37
528,39
529,35
530,43
531,36
532,37
533,45
534,41
535,43
536,46
537,44
538,38
539,42
540,43
541,49
542,42
543,39
544,35
545,38
546,36
547,47
548,39
549,39
550,38
551,46
552,43
553,40
554,41
555,41
556,39
557,41
558,40
559,43
560,42
561,44
562,42
563,42
564,39
565,31
566,43
567,37
568,41
569,42
570,35
571,40
572,44
573,39
574,41
575,49
576,51
577,48
578,34
579,41
580,43
581,42
582,40
583,44
584,44
585,41
586,30
587,48
588,41
589,39
590,43
591,45
592,42
593,40
594,36
595,48
596,38
597,32
598,41
599,47
600,40
601,36
602,40
603,43
604,44
605,40
606,37
607,41
608,41
609,33
610,43
611,46
612,38
613,41
614,39
615,38
616,46
617,40
618,38
619,37
620,31
621,32
622,38
623,42
624,43
625,46
626,38
627,36
628,47
629,39
630,34
631,42
632,41
633,42
634,39
635,35
636,35
637,36
638,32
639,45
640,43
641,44
642,38
643,41
644,38
645,40
646,38
647,42
648,36
649,33
650,33
651,41
652,40
653,34
654,43
655,44
656,41
657,47
658,35
659,33
660,31
661,42
662,43
663,34
664,43
665,44
666,44
667,45
668,36
669,42
670,44
671,47
672,36
673,36
674,35
675,33
676,41
677,45
678,41
679,47
680,40
681,31
682,44
683,46
684,49
685,35
686,38
687,44
688,39
689,43
690,47
691,38
692,43
693,35
694,42
695,40
696,43
697,41
698,40
699,36
700,43
701,43
702,39
703,42
704,41
705,49
706,33
707,41
708,40
709,45
710,48
711,40
712,38
713,49
714,41
715,46
716,32
717,38
718,49
719,44
720,48
721,37
722,42
723,37
724,46
725,42
726,48
727,39
728,40
729,45
730,36
731,39
732,42
733,38
734,41
735,41
736,37
737,39
738,42
739,38
740,39
741,40
742,42
743,42
744,39
745,31
746,42
747,39
748,38
749,41
750,34
751,44
752,36
753,39
754,31
755,42
756,40
757,38
758,34
759,35
760,38
761,32
762,39
763,41
764,36
765,38
766,45
767,39
768,41
769,40
770,34
771,42
772,35
773,43
774,33
775,30
776,43
777,29
778,39
779,37
780,38
781,42
782,41
783,43
784,40
785,36
786,38
787,34
788,40
789,42
790,46
791,37
792,37
793,41
794,43
795,39
796,37
797,41
798,40
799,42
800,43
801,32
802,39
803,47
804,44
805,42
806,46
807,41
808,43
809,45
810,39
811,40
812,43
813,39
814,36
815,37
816,37
817,41
818,38
819,48
820,36
821,39
822,35
823,42
824,25
825,38
826,40
827,39
828,36
829,47
830,41
831,36
832,39
833,47
834,41
835,41
836,33
837,35
838,35
839,41
840,38
841,38
842,31
843,39
844,46
845,47
846,35
847,46
848,42
849,40
850,39
851,39
852,38
853,41
854,44
855,38
856,37
857,45
858,37
859,39
860,40
861,39
862,43
863,35
864,42
865,38
866,41
867,29
868,45
869,49
870,40
871,35
872,39
873,44
874,39
875,40
876,47
877,39
878,41
879,42
880,39
881,41
882,40
883,43
884,41
885,51
886,41
887,41
888,46
889,39
890,44
891,37
892,42
893,43
894,36
895,41
896,44
897,40
898,42
899,45
900,41
901,42
902,36
903,36
904,45
905,33
906,40
907,41
908,39
909,39
910,45
911,36
912,32
913,45
914,43
915,41
916,44
917,47
918,41
919,49
920,37
921,42
922,45
923,39
924,49
925,42
926,40
927,35
928,41
929,36
930,33
931,36
932,42
933,33
934,48
935,39
936,39
937,46
938,40
939,41
940,33
941,48
942,42
943,37
944,41
945,35
946,39
947,38
948,37
949,36
950,39
951,43
952,44
953,36
954,39
955,35
956,41
957,39
958,44
959,27
960,42
961,43
962,39
963,38
964,41
965,42
966,41
967,45
968,49
969,43
970,43
971,32
972,43
973,39
974,38
975,43
976,39
977,36
978,44
979,41
980,42
981,42
982,38
983,45
984,39
985,40
986,45
987,44
988,37
989,41
990,40
991,46
992,34
993,36
994,41
995,40
996,32
997,40
998,50
999,41
1000,38
